actual,predicted,verdict,risk_per_msg,command,progress
NO_SCAM,NO_SCAM,NO_SCAM,2.15,EXTRACT,4/11
SCAM,SCAM,SCAM,2.29,EXTRACT,5/14
SCAM,SCAM,SCAM,1.92,EXTRACT,1/8
SCAM,SCAM,SCAM,1.78,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.46,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.04,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.88,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,2.09,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.21,ENGAGE,2/5
SCAM,SCAM,SCAM,2.49,EXTRACT,3/8
SCAM,SCAM,SCAM,1.93,EXTRACT,4/11
SCAM,SCAM,SCAM,2.33,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.0,ENGAGE,1/5
SCAM,SCAM,SCAM,1.7,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.54,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.36,EXTRACT,4/8
SCAM,SCAM,SCAM,1.82,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,2.85,ENGAGE,1/5
SCAM,SCAM,SCAM,1.66,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.93,EXTRACT,3/8
SCAM,SCAM,SCAM,1.61,EXTRACT,4/11
SCAM,SCAM,SCAM,1.66,EXTRACT,5/14
SCAM,SCAM,SCAM,1.14,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.17,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.73,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.05,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.36,EXTRACT,5/8
SCAM,SCAM,SCAM,1.74,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.64,EXTRACT,2/8
SCAM,SCAM,SCAM,1.93,EXTRACT,3/11
SCAM,SCAM,SCAM,2.17,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.5,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.0,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.51,ENGAGE,2/5
SCAM,SCAM,SCAM,2.44,EXTRACT,3/8
SCAM,SCAM,SCAM,1.18,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.76,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.55,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.96,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.43,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.14,ENGAGE,4/5
NO_SCAM,NO_SCAM,NO_SCAM,1.04,ENGAGE,5/5
SCAM,SCAM,SCAM,1.67,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.98,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.04,EXTRACT,3/8
SCAM,SCAM,SCAM,1.89,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.51,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.09,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.73,ENGAGE,2/5
SCAM,SCAM,SCAM,2.5,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.52,EXTRACT,4/8
SCAM,SCAM,SCAM,2.25,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.37,ENGAGE,1/5
SCAM,SCAM,SCAM,1.45,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.99,EXTRACT,3/8
SCAM,SCAM,SCAM,2.13,EXTRACT,4/11
SCAM,SCAM,SCAM,1.0,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.21,ENGAGE,1/5
SCAM,SCAM,SCAM,1.91,EXTRACT,2/8
SCAM,SCAM,SCAM,1.6,EXTRACT,3/11
SCAM,SCAM,SCAM,2.81,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.11,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.42,ENGAGE,1/5
SCAM,SCAM,SCAM,1.42,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.9,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.72,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.53,EXTRACT,5/8
SCAM,SCAM,SCAM,2.28,EXTRACT,1/8
SCAM,SCAM,SCAM,2.06,EXTRACT,2/11
SCAM,SCAM,SCAM,2.06,EXTRACT,3/14
SCAM,SCAM,SCAM,2.04,EXTRACT,4/17
NO_SCAM,NO_SCAM,NO_SCAM,1.93,EXTRACT,5/17
SCAM,SCAM,SCAM,2.2,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.49,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.49,EXTRACT,3/8
SCAM,SCAM,SCAM,1.68,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.86,EXTRACT,5/11
SCAM,SCAM,SCAM,1.89,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.27,EXTRACT,2/8
SCAM,SCAM,SCAM,1.71,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.51,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.04,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.54,ENGAGE,1/5
SCAM,SCAM,SCAM,1.75,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,2.0,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.61,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.73,EXTRACT,5/8
SCAM,SCAM,SCAM,1.63,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.39,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.73,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.12,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.34,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.06,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.96,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,2.35,ENGAGE,3/5
SCAM,SCAM,SCAM,1.5,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.0,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.64,ENGAGE,1/5
SCAM,SCAM,SCAM,1.78,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,2.02,EXTRACT,3/8
SCAM,SCAM,SCAM,1.42,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.56,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,ENGAGE,1/5
SCAM,SCAM,SCAM,1.31,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,2.58,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.21,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.04,EXTRACT,5/8
SCAM,SCAM,SCAM,1.82,EXTRACT,1/8
SCAM,SCAM,SCAM,1.79,EXTRACT,2/11
SCAM,SCAM,SCAM,1.7,EXTRACT,3/14
SCAM,SCAM,SCAM,1.76,EXTRACT,4/17
NO_SCAM,NO_SCAM,NO_SCAM,1.93,EXTRACT,5/17
NO_SCAM,NO_SCAM,NO_SCAM,1.51,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.03,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.4,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.68,ENGAGE,4/5
NO_SCAM,NO_SCAM,NO_SCAM,2.85,ENGAGE,5/5
NO_SCAM,NO_SCAM,NO_SCAM,2.83,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.67,ENGAGE,2/5
SCAM,SCAM,SCAM,1.52,EXTRACT,3/8
SCAM,SCAM,SCAM,1.52,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,5/11
SCAM,SCAM,SCAM,1.75,EXTRACT,1/8
SCAM,SCAM,SCAM,1.44,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.34,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.65,EXTRACT,4/11
SCAM,SCAM,SCAM,2.58,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,2.04,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.47,ENGAGE,2/5
SCAM,SCAM,SCAM,1.88,EXTRACT,3/8
SCAM,SCAM,SCAM,1.8,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,4.15,EXTRACT,5/11
SCAM,SCAM,SCAM,1.79,EXTRACT,1/8
SCAM,SCAM,SCAM,1.65,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.94,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,4/11
SCAM,SCAM,SCAM,1.09,EXTRACT,5/14
SCAM,SCAM,SCAM,2.37,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.74,EXTRACT,2/8
SCAM,SCAM,SCAM,1.34,EXTRACT,3/11
SCAM,SCAM,SCAM,1.65,EXTRACT,4/14
SCAM,SCAM,SCAM,1.77,EXTRACT,5/17
NO_SCAM,NO_SCAM,NO_SCAM,1.27,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.32,ENGAGE,2/5
SCAM,SCAM,SCAM,1.57,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.39,EXTRACT,4/8
SCAM,SCAM,SCAM,1.07,EXTRACT,5/11
SCAM,SCAM,SCAM,1.97,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.04,EXTRACT,2/8
SCAM,SCAM,SCAM,1.73,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.72,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.99,EXTRACT,5/11
SCAM,SCAM,SCAM,1.33,EXTRACT,1/8
SCAM,SCAM,SCAM,1.0,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.93,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.18,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.67,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,5.81,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.95,ENGAGE,3/5
SCAM,SCAM,SCAM,1.97,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.29,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.61,ENGAGE,1/5
SCAM,SCAM,SCAM,1.81,EXTRACT,2/8
SCAM,SCAM,SCAM,2.04,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.69,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.66,EXTRACT,5/11
SCAM,SCAM,SCAM,1.06,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.06,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.21,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.82,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.53,ENGAGE,1/5
SCAM,SCAM,SCAM,1.98,EXTRACT,2/8
SCAM,SCAM,SCAM,2.0,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.61,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.29,EXTRACT,5/11
SCAM,SCAM,SCAM,1.31,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.74,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.57,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.72,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.37,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,2.35,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.62,ENGAGE,2/5
SCAM,SCAM,SCAM,2.62,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.73,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.3,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.82,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.26,ENGAGE,2/5
SCAM,SCAM,SCAM,1.0,EXTRACT,3/8
SCAM,SCAM,SCAM,1.52,EXTRACT,4/11
SCAM,SCAM,SCAM,1.61,EXTRACT,5/14
SCAM,SCAM,SCAM,2.29,EXTRACT,1/8
SCAM,SCAM,SCAM,1.43,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.03,EXTRACT,3/11
SCAM,SCAM,SCAM,1.39,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,2.57,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.47,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.14,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.78,ENGAGE,3/5
SCAM,SCAM,SCAM,1.31,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.05,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,2.16,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.8,ENGAGE,2/5
SCAM,SCAM,SCAM,2.18,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,4/8
SCAM,SCAM,SCAM,1.76,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.31,ENGAGE,1/5
SCAM,SCAM,SCAM,1.0,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.81,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.15,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.99,EXTRACT,5/8
SCAM,SCAM,SCAM,1.42,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.17,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.63,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,3.79,EXTRACT,4/8
SCAM,SCAM,SCAM,1.92,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.5,ENGAGE,1/5
SCAM,SCAM,SCAM,1.48,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,2.3,EXTRACT,3/8
SCAM,SCAM,SCAM,1.36,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.51,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.95,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.55,ENGAGE,2/5
SCAM,SCAM,SCAM,1.7,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.81,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.19,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.69,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.96,ENGAGE,2/5
SCAM,SCAM,SCAM,3.52,EXTRACT,3/8
SCAM,SCAM,SCAM,2.36,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,5/11
SCAM,SCAM,SCAM,2.01,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.29,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,2.08,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.79,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.66,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.87,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.39,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,2.26,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.28,ENGAGE,4/5
NO_SCAM,NO_SCAM,NO_SCAM,1.77,ENGAGE,5/5
NO_SCAM,NO_SCAM,NO_SCAM,2.24,ENGAGE,1/5
SCAM,SCAM,SCAM,1.27,EXTRACT,2/8
SCAM,SCAM,SCAM,1.81,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.41,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.91,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.09,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.61,ENGAGE,2/5
SCAM,SCAM,SCAM,1.56,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.68,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.17,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.57,ENGAGE,1/5
SCAM,SCAM,SCAM,1.03,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.47,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.57,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.86,EXTRACT,5/8
SCAM,SCAM,SCAM,1.94,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.1,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.66,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.12,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.99,EXTRACT,5/8
SCAM,SCAM,SCAM,1.83,EXTRACT,1/8
SCAM,SCAM,SCAM,1.59,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,2.08,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.06,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.37,EXTRACT,5/11
SCAM,SCAM,SCAM,1.83,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.35,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,3.52,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.07,EXTRACT,4/8
SCAM,SCAM,SCAM,1.95,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.09,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.19,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,3.83,ENGAGE,3/5
SCAM,SCAM,SCAM,1.11,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,3.38,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,2.33,ENGAGE,1/5
SCAM,SCAM,SCAM,1.03,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.8,EXTRACT,3/8
SCAM,SCAM,SCAM,1.73,EXTRACT,4/11
SCAM,SCAM,SCAM,1.62,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.8,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.01,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,2.17,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.59,ENGAGE,4/5
SCAM,SCAM,SCAM,1.69,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,3.43,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.79,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.77,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.83,ENGAGE,4/5
SCAM,SCAM,SCAM,1.7,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,2.56,ENGAGE,1/5
SCAM,SCAM,SCAM,2.38,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.58,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.33,EXTRACT,4/8
SCAM,SCAM,SCAM,1.59,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,2.14,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.79,ENGAGE,2/5
SCAM,SCAM,SCAM,2.19,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.13,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.39,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.0,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.53,ENGAGE,2/5
SCAM,SCAM,SCAM,1.68,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.97,EXTRACT,4/8
SCAM,SCAM,SCAM,1.53,EXTRACT,5/11
SCAM,SCAM,SCAM,1.85,EXTRACT,1/8
SCAM,SCAM,SCAM,1.82,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,2.17,EXTRACT,3/11
SCAM,SCAM,SCAM,2.38,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.31,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.49,ENGAGE,1/5
SCAM,SCAM,SCAM,2.52,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.81,EXTRACT,3/8
SCAM,SCAM,SCAM,1.66,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.51,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,3.43,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.33,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.38,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,2.32,ENGAGE,4/5
SCAM,SCAM,SCAM,1.85,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.38,ENGAGE,1/5
SCAM,SCAM,SCAM,1.18,EXTRACT,2/8
SCAM,SCAM,SCAM,1.42,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.59,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.34,EXTRACT,5/11
SCAM,SCAM,SCAM,1.6,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.76,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.58,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.53,EXTRACT,4/8
SCAM,SCAM,SCAM,1.2,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.74,ENGAGE,1/5
SCAM,SCAM,SCAM,1.98,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.91,EXTRACT,3/8
SCAM,SCAM,SCAM,1.84,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.77,EXTRACT,5/11
SCAM,SCAM,SCAM,1.44,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.56,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.72,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.48,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,4.15,EXTRACT,5/8
