keyword,risk_score,personality_distribution
Placement service,9,"Desperate (60%), Trusting (40%)"
Money mule,8,"Greedy (60%), Trusting (30%), Naive (10%)"
Commissions,8,"Greedy (70%), Trusting (30%)"
Personal loans,9,"Desperate (70%), Trusting (30%)"
Instant loans,10,"Desperate (70%), Trusting (30%)"
Low interest,9,"Desperate (70%), Greedy (30%)"
No collateral,9,"Desperate (70%), Trusting (30%)"
Upfront fees,10,"Desperate (70%), Anxious (30%)"
Processing fees,10,"Desperate (70%), Anxious (30%)"
GST,9,"Anxious (50%), Trusting (50%)"
Advance EMI,9,"Desperate (60%), Trusting (40%)"
Credit limit,9,"Greedy (50%), Anxious (50%)"
High returns,10,"Greedy (90%), Trusting (10%)"
Easy money,9,"Greedy (80%), Trusting (20%)"
Ponzi,10,"Greedy (90%), Trusting (10%)"
MLM,10,"Greedy (90%), Trusting (10%)"
Chain Marketing,10,"Greedy (90%), Trusting (10%)"
Pyramid Structure,10,"Greedy (90%), Trusting (10%)"
Invest,10,"Greedy (80%), Trusting (20%)"
Trading app,10,"Greedy (80%), Trusting (20%)"
Locked Funds,10,"Anxious (80%), Greedy (20%)"
Brokerage fees,10,"Anxious (80%), Greedy (20%)"
Statutory taxes,10,"Anxious (80%), Greedy (20%)"
Welfare scheme,10,"Desperate (70%), Trusting (30%)"
Government benefits,10,"Desperate (70%), Trusting (30%)"
Verify bank,10,"Desperate (60%), Anxious (40%)"
Update bank,10,"Desperate (60%), Anxious (40%)"
Blackmail,9,"Anxious (90%), Aggressive (10%)"
Harass,9,"Anxious (90%), Aggressive (10%)"
Video-KYC,9,"Trusting (50%), Anxious (50%)"
Police,10,"Aggressive (70%), Anxious (30%)"
CBI,10,"Aggressive (70%), Anxious (30%)"
Narcotics,10,"Aggressive (80%), Anxious (20%)"
Customs officials,10,"Aggressive (70%), Anxious (30%)"
Digital Arrest,10,"Aggressive (80%), Anxious (20%)"
Legal trouble,10,"Aggressive (80%), Anxious (20%)"
Avoid arrest,10,"Aggressive (80%), Anxious (20%)"
Jail time,10,"Aggressive (80%), Anxious (20%)"
Arrest warrant,10,"Aggressive (80%), Anxious (20%)"
Illegal substances,10,"Aggressive (80%), Anxious (20%)"
Isolate yourself,9,"Aggressive (70%), Anxious (30%)"
Payment demands,10,"Aggressive (80%), Anxious (20%)"
Officer X,10,"Aggressive (70%), Anxious (30%)"
Cyber Crime Unit,10,"Aggressive (70%), Anxious (30%)"
AI Voice,9,"Trusting (50%), Anxious (50%)"
Emergency,9,"Empathetic (60%), Anxious (30%), Trusting (10%)"
Need money,9,"Empathetic (60%), Anxious (30%), Trusting (10%)"
Robbed,9,"Empathetic (60%), Anxious (30%), Trusting (10%)"
Help,9,"Empathetic (60%), Anxious (30%), Trusting (10%)"
Refund you,8,"Trusting (70%), Empathetic (30%)"
Parcel delivery,9,"Anxious (50%), Trusting (40%), Unaware (10%)"
Package waiting,9,"Curious (50%), Anxious (40%), Trusting (10%)"
Confirm delivery,9,"Anxious (60%), Trusting (40%)"
Pay fee,9,"Anxious (60%), Trusting (40%)"
Order cancelled,9,"Anxious (70%), Trusting (30%)"
Parcel destroyed,9,"Anxious (70%), Trusting (30%)"
Malware,9,"Anxious (50%), Trusting (30%), Naive (20%)"
Virus,9,"Anxious (60%), Trusting (40%)"
Critical error,9,"Anxious (70%), Trusting (30%)"
Tech support,9,"Anxious (70%), Trusting (30%)"
Fix issue,9,"Anxious (70%), Trusting (30%)"
Fake app,9,"Trusting (50%), Naive (30%), Curious (20%)"
Fake link,9,"Curious (50%), Anxious (30%), Trusting (20%)"
Unauthorised transfer,10,"Anxious (80%), Trusting (20%)"
Steal data,9,"Anxious (70%), Trusting (30%)"
Personal information,9,"Trusting (60%), Anxious (40%)"
Sensitive information,10,"Trusting (60%), Anxious (40%)"
Bank details,10,"Trusting (60%), Anxious (40%)"
Too good to be true,9,"Greedy (60%), Trusting (30%), Skeptical (10%)"
Mobile recharge,8,"Greedy (50%), Trusting (30%), Naive (20%)"
Cashback,8,"Greedy (70%), Trusting (30%)"
arrest,10,"anxious (24%), aggressive (14%), confused (14%)"
you,10,"greedy (21%), confused (19%), anxious (17%)"
the,6.9,"greedy (27%), confused (19%), anxious (15%)"
and,5.4,"greedy (26%), confused (18%), anxious (16%)"
your,4.8,"confused (18%), greedy (17%), anxious (15%)"
can,3.5,"greedy (25%), confused (18%), anxious (17%)"
this,2.8,"anxious (21%), confused (19%), greedy (15%)"
that,2.5,"greedy (29%), confused (19%), anxious (15%)"
innocent,2.1,"confused (17%), greedy (16%), anxious (15%)"
suspect,1.9,"confused (19%), greedy (17%), anxious (15%)"
number,1.8,"confused (17%), greedy (17%), trusting (14%)"
for,1.7,"greedy (29%), confused (16%), anxious (13%)"
don,1.7,"anxious (29%), confused (27%), aggressive (10%)"
with,1.6,"greedy (28%), confused (15%), anxious (14%)"
please,1.3,"anxious (19%), confused (18%), greedy (15%)"
but,1.3,"greedy (29%), anxious (19%), confused (16%)"
security,1.2,"confused (18%), greedy (18%), anxious (14%)"
just,1.2,"anxious (22%), confused (20%), greedy (19%)"
need,1.1,"greedy (22%), confused (21%), trusting (18%)"
not,1,"skeptical (19%), aggressive (17%), anxious (16%)"
information,1,"greedy (24%), anxious (16%), confused (14%)"
our,1,"greedy (21%), anxious (20%), confused (14%)"
social,1,"confused (20%), greedy (16%), anxious (14%)"
refund,0.9,"confused (20%), greedy (19%), anxious (14%)"
process,0.9,"greedy (21%), confused (21%), anxious (15%)"
what,0.9,"confused (24%), anxious (22%), greedy (20%)"
have,0.8,"greedy (21%), confused (17%), anxious (15%)"
confirm,0.8,"greedy (26%), confused (14%), polite (12%)"
get,0.8,"greedy (28%), confused (22%), anxious (16%)"
understand,0.8,"confused (23%), anxious (22%), greedy (14%)"
like,0.7,"greedy (29%), confused (17%), anxious (15%)"
johnson,0.7,"greedy (18%), confused (17%), trusting (14%)"
okay,0.7,"confused (29%), anxious (24%), trusting (18%)"
from,0.7,"aggressive (17%), confused (14%), skeptical (14%)"
time,0.7,"greedy (26%), confused (19%), anxious (17%)"
take,0.7,"anxious (21%), confused (19%), greedy (17%)"
call,0.7,"anxious (24%), trusting (17%), skeptical (13%)"
now,0.7,"greedy (22%), confused (21%), trusting (19%)"
card,0.7,"greedy (31%), trusting (28%), confused (18%)"
account,0.6,"greedy (26%), confused (17%), trusting (17%)"
been,0.6,"confused (14%), trusting (13%), aggressive (13%)"
let,0.6,"greedy (26%), confused (21%), anxious (17%)"
provide,0.6,"greedy (32%), polite (16%), confused (11%)"
prize,0.6,"confused (23%), greedy (22%), anxious (12%)"
any,0.6,"greedy (31%), skeptical (14%), anxious (12%)"
give,0.6,"greedy (29%), anxious (22%), confused (17%)"
computer,0.6,"confused (28%), trusting (17%), anxious (15%)"
will,0.6,"greedy (24%), anxious (20%), confused (19%)"
verify,0.6,"skeptical (18%), polite (17%), anxious (17%)"
hello,0.6,"confused (14%), polite (13%), trusting (13%)"
going,0.5,"anxious (27%), confused (20%), trusting (12%)"
one,0.5,"greedy (36%), confused (18%), anxious (13%)"
issue,0.5,"confused (20%), anxious (15%), polite (14%)"
think,0.5,"confused (30%), anxious (17%), greedy (16%)"
payment,0.5,"greedy (46%), trusting (17%), confused (17%)"
about,0.5,"greedy (25%), confused (23%), anxious (17%)"
back,0.5,"trusting (24%), anxious (23%), confused (21%)"
are,0.5,"confused (27%), greedy (23%), anxious (13%)"
fee,0.5,"greedy (32%), confused (25%), trusting (15%)"
know,0.5,"anxious (33%), confused (26%), skeptical (15%)"
system,0.4,"anxious (17%), confused (16%), greedy (14%)"
assure,0.4,"anxious (22%), confused (21%), aggressive (14%)"
want,0.4,"anxious (38%), confused (22%), greedy (16%)"
sure,0.4,"confused (38%), greedy (29%), anxious (20%)"
there,0.4,"greedy (46%), trusting (13%), confused (12%)"
trying,0.4,"aggressive (30%), anxious (19%), confused (17%)"
identity,0.4,"confused (19%), anxious (18%), greedy (18%)"
legitimate,0.4,"anxious (24%), skeptical (20%), confused (19%)"
help,0.4,"confused (25%), anxious (23%), aggressive (12%)"
karen,0.4,"greedy (25%), confused (22%), polite (14%)"
some,0.4,"greedy (32%), anxious (15%), confused (11%)"
offer,0.4,"greedy (51%), anxious (15%), polite (11%)"
right,0.4,"confused (36%), trusting (19%), greedy (16%)"
more,0.4,"greedy (35%), anxious (15%), confused (13%)"
make,0.4,"greedy (39%), anxious (21%), confused (18%)"
how,0.4,"skeptical (27%), anxious (15%), aggressive (15%)"
completely,0.4,"anxious (25%), confused (23%), greedy (17%)"
would,0.4,"anxious (20%), greedy (19%), confused (19%)"
address,0.4,"greedy (15%), trusting (15%), polite (13%)"
all,0.4,"greedy (34%), confused (23%), anxious (19%)"
company,0.3,"polite (21%), skeptical (20%), anxious (19%)"
through,0.3,"confused (26%), anxious (20%), greedy (11%)"
credit,0.3,"greedy (43%), trusting (15%), confused (13%)"
sounds,0.3,"greedy (36%), trusting (21%), anxious (13%)"
worry,0.3,"confused (45%), anxious (20%), trusting (10%)"
name,0.3,"trusting (17%), confused (15%), distracted (14%)"
thank,0.3,"trusting (47%), distracted (12%), greedy (12%)"
out,0.3,"anxious (24%), confused (20%), greedy (18%)"
rachel,0.3,"greedy (18%), confused (17%), anxious (15%)"
really,0.3,"anxious (30%), greedy (21%), confused (17%)"
concerns,0.3,"anxious (27%), greedy (24%), confused (21%)"
tell,0.3,"greedy (23%), confused (19%), trusting (14%)"
fix,0.3,"confused (29%), anxious (23%), distracted (15%)"
here,0.3,"confused (29%), anxious (23%), aggressive (11%)"
way,0.3,"greedy (42%), confused (21%), anxious (16%)"
access,0.3,"anxious (23%), greedy (20%), trusting (15%)"
emily,0.3,"trusting (27%), anxious (19%), greedy (13%)"
secure,0.3,"greedy (25%), anxious (22%), confused (20%)"
still,0.2,"anxious (28%), confused (21%), greedy (20%)"
device,0.2,"aggressive (29%), polite (23%), skeptical (12%)"
line,0.2,"anxious (31%), confused (26%), greedy (13%)"
only,0.2,"greedy (31%), confused (23%), anxious (20%)"
email,0.2,"greedy (53%), trusting (11%), polite (10%)"
something,0.2,"anxious (30%), greedy (29%), distracted (16%)"
personal,0.2,"skeptical (20%), anxious (18%), polite (18%)"
got,0.2,"greedy (28%), distracted (23%), trusting (22%)"
giving,0.2,"skeptical (26%), anxious (25%), aggressive (21%)"
care,0.2,"confused (22%), anxious (21%), greedy (17%)"
next,0.2,"greedy (44%), trusting (20%), confused (10%)"
malware,0.2,"confused (22%), anxious (21%), trusting (13%)"
virus,0.2,"anxious (26%), distracted (14%), trusting (13%)"
concern,0.2,"polite (24%), anxious (17%), confused (14%)"
proceed,0.2,"greedy (26%), anxious (18%), confused (16%)"
data,0.2,"anxious (23%), aggressive (12%), polite (12%)"
anything,0.2,"anxious (26%), aggressive (21%), confused (19%)"
getting,0.2,"greedy (42%), aggressive (21%), confused (15%)"
who,0.2,"aggressive (27%), anxious (21%), confused (17%)"
over,0.2,"polite (31%), anxious (18%), greedy (16%)"
phone,0.2,"polite (29%), greedy (17%), skeptical (16%)"
further,0.2,"anxious (17%), greedy (16%), polite (15%)"
ensure,0.2,"greedy (22%), trusting (19%), confused (17%)"
processing,0.2,"greedy (44%), confused (18%), trusting (13%)"
receive,0.2,"greedy (43%), trusting (17%), confused (13%)"
scam,0.2,"anxious (34%), skeptical (23%), aggressive (18%)"
verification,0.2,"confused (25%), greedy (20%), anxious (14%)"
wait,0.2,"confused (38%), anxious (21%), greedy (13%)"
once,0.2,"trusting (25%), confused (24%), greedy (24%)"
action,0.2,"anxious (21%), polite (16%), aggressive (15%)"
kind,0.2,"greedy (37%), anxious (23%), confused (15%)"
before,0.2,"greedy (58%), polite (9%), anxious (8%)"
appreciate,0.2,"polite (52%), greedy (20%), trusting (10%)"
debit,0.2,"trusting (26%), confused (24%), greedy (23%)"
see,0.2,"greedy (37%), confused (22%), trusting (12%)"
code,0.2,"trusting (26%), greedy (21%), anxious (19%)"
into,0.2,"greedy (26%), confused (16%), aggressive (16%)"
bank,0.2,"greedy (34%), confused (18%), trusting (16%)"
however,0.2,"greedy (26%), polite (19%), anxious (12%)"
comfortable,0.2,"polite (36%), greedy (22%), anxious (20%)"
confirmation,0.2,"greedy (46%), anxious (14%), trusting (11%)"
guide,0.2,"confused (29%), anxious (21%), trusting (14%)"
purchase,0.2,"greedy (23%), confused (19%), trusting (17%)"
officer,0.2,"greedy (31%), polite (18%), trusting (13%)"
yes,0.2,"confused (29%), greedy (28%), trusting (23%)"
pay,0.2,"confused (36%), greedy (23%), anxious (15%)"
mrs,0.2,"anxious (24%), greedy (24%), confused (15%)"
details,0.2,"greedy (36%), confused (14%), trusting (14%)"
everything,0.2,"greedy (30%), confused (28%), anxious (24%)"
could,0.2,"greedy (28%), anxious (17%), confused (15%)"
small,0.2,"confused (31%), greedy (18%), trusting (18%)"
supervisor,0.2,"greedy (28%), anxious (19%), confused (16%)"
matter,0.2,"greedy (23%), anxious (14%), confused (13%)"
resolve,0.2,"confused (19%), anxious (19%), polite (14%)"
good,0.2,"greedy (27%), trusting (19%), anxious (18%)"
hang,0.2,"anxious (41%), polite (17%), confused (14%)"
goodbye,0.2,"polite (21%), skeptical (21%), aggressive (18%)"
benefits,0.2,"greedy (35%), confused (17%), anxious (16%)"
won,0.2,"confused (27%), anxious (20%), greedy (14%)"
even,0.2,"greedy (39%), anxious (18%), confused (15%)"
was,0.2,"greedy (25%), confused (18%), trusting (14%)"
again,0.2,"confused (43%), trusting (21%), greedy (16%)"
has,0.2,"trusting (18%), confused (16%), anxious (14%)"
service,0.2,"greedy (52%), confused (9%), polite (8%)"
software,0.2,"greedy (33%), trusting (21%), anxious (19%)"
minute,0.2,"anxious (21%), confused (18%), greedy (16%)"
hold,0.2,"anxious (18%), confused (18%), distracted (14%)"
ahead,0.2,"greedy (31%), trusting (25%), confused (18%)"
gift,0.2,"greedy (48%), trusting (23%), anxious (12%)"
administration,0.2,"anxious (18%), confused (17%), skeptical (17%)"
deal,0.2,"greedy (85%), anxious (5%), confused (4%)"
website,0.2,"anxious (22%), skeptical (19%), polite (15%)"
activity,0.2,"aggressive (15%), anxious (14%), confused (14%)"
serious,0.2,"trusting (19%), anxious (17%), confused (14%)"
date,0.2,"trusting (30%), greedy (21%), distracted (15%)"
thompson,0.2,"greedy (28%), anxious (16%), confused (13%)"
calling,0.2,"aggressive (19%), skeptical (16%), polite (14%)"
services,0.2,"greedy (42%), skeptical (11%), anxious (11%)"
today,0.2,"greedy (20%), trusting (15%), anxious (14%)"
last,0.2,"confused (21%), trusting (17%), greedy (15%)"
birth,0.2,"trusting (22%), greedy (20%), distracted (19%)"
send,0.2,"greedy (32%), anxious (19%), confused (11%)"
money,0.2,"confused (31%), anxious (30%), greedy (16%)"
reach,0.1,"greedy (27%), trusting (17%), aggressive (11%)"
eligible,0.1,"greedy (29%), aggressive (14%), confused (11%)"
tool,0.1,"confused (32%), trusting (32%), anxious (22%)"
recent,0.1,"aggressive (15%), anxious (15%), confused (15%)"
transaction,0.1,"greedy (26%), trusting (22%), confused (12%)"
financial,0.1,"greedy (23%), anxious (15%), polite (14%)"
four,0.1,"confused (22%), trusting (20%), greedy (13%)"
digits,0.1,"confused (23%), trusting (20%), greedy (13%)"
necessary,0.1,"confused (32%), greedy (18%), anxious (15%)"
inform,0.1,"trusting (21%), distracted (14%), polite (14%)"
team,0.1,"anxious (31%), greedy (21%), aggressive (14%)"
new,0.1,"greedy (44%), trusting (31%), confused (9%)"
able,0.1,"anxious (24%), confused (24%), greedy (13%)"
opportunity,0.1,"confused (23%), anxious (20%), greedy (16%)"
miss,0.1,"confused (33%), anxious (26%), aggressive (8%)"
appears,0.1,"distracted (22%), trusting (21%), polite (15%)"
assist,0.1,"trusting (27%), confused (16%), anxious (14%)"
discount,0.1,"greedy (71%), anxious (13%), confused (11%)"
including,0.1,"greedy (52%), anxious (12%), confused (9%)"
mailing,0.1,"anxious (17%), skeptical (15%), aggressive (14%)"
error,0.1,"confused (29%), anxious (14%), trusting (14%)"
correct,0.1,"confused (30%), greedy (19%), trusting (15%)"
skepticism,0.1,"aggressive (35%), skeptical (27%), anxious (15%)"
reference,0.1,"skeptical (26%), polite (18%), anxious (17%)"
main,0.1,"trusting (30%), distracted (24%), polite (11%)"
contact,0.1,"polite (43%), skeptical (29%), greedy (12%)"
store,0.1,"confused (38%), trusting (19%), anxious (17%)"
hurry,0.1,"trusting (40%), distracted (28%), confused (16%)"
monitoring,0.1,"greedy (20%), aggressive (17%), polite (14%)"
program,0.1,"greedy (64%), confused (17%), trusting (8%)"
click,0.1,"confused (43%), trusting (20%), distracted (14%)"
consequences,0.1,"anxious (25%), confused (16%), distracted (12%)"
pin,0.1,"trusting (53%), greedy (14%), confused (12%)"
worth,0.1,"greedy (77%), anxious (8%), confused (7%)"
real,0.1,"confused (28%), greedy (20%), anxious (18%)"
move,0.1,"greedy (40%), confused (23%), anxious (12%)"
forward,0.1,"greedy (48%), confused (19%), anxious (10%)"
fraudulent,0.1,"anxious (22%), confused (18%), trusting (15%)"
other,0.1,"greedy (48%), anxious (14%), trusting (11%)"
future,0.1,"greedy (64%), trusting (19%), anxious (9%)"
prepaid,0.1,"greedy (30%), confused (26%), trusting (16%)"
john,0.1,"greedy (26%), distracted (25%), confused (12%)"
advantage,0.1,"greedy (54%), anxious (14%), confused (12%)"
while,0.1,"confused (24%), anxious (24%), greedy (16%)"
buying,0.1,"aggressive (37%), skeptical (32%), distracted (24%)"
customer,0.1,"greedy (57%), anxious (9%), skeptical (9%)"
alright,0.1,"greedy (85%), trusting (9%), distracted (3%)"
package,0.1,"greedy (91%), anxious (3%), aggressive (2%)"
follow,0.1,"greedy (29%), anxious (21%), confused (18%)"
yeah,0.1,"distracted (56%), greedy (22%), trusting (19%)"
detected,0.1,"confused (17%), anxious (14%), skeptical (13%)"
overpayment,0.1,"polite (19%), confused (18%), skeptical (16%)"
didn,0.1,"aggressive (28%), skeptical (25%), polite (22%)"
allow,0.1,"trusting (24%), confused (20%), anxious (18%)"
immediately,0.1,"greedy (22%), polite (13%), anxious (12%)"
bit,0.1,"greedy (50%), polite (27%), confused (8%)"
cooperation,0.1,"greedy (28%), trusting (18%), distracted (17%)"
great,0.1,"trusting (37%), greedy (35%), confused (11%)"
used,0.1,"confused (21%), anxious (17%), trusting (14%)"
enter,0.1,"confused (21%), greedy (17%), polite (14%)"
every,0.1,"confused (23%), anxious (20%), greedy (15%)"
start,0.1,"confused (27%), greedy (26%), trusting (18%)"
started,0.1,"greedy (55%), confused (18%), anxious (10%)"
rest,0.1,"confused (37%), greedy (23%), anxious (18%)"
remove,0.1,"anxious (23%), trusting (21%), confused (15%)"
already,0.1,"anxious (26%), distracted (18%), confused (13%)"
questions,0.1,"greedy (28%), trusting (19%), anxious (18%)"
bonus,0.1,"greedy (95%), anxious (1%), confused (1%)"
reward,0.1,"greedy (35%), trusting (17%), anxious (13%)"
premium,0.1,"greedy (90%), confused (3%), anxious (2%)"
throw,0.1,"greedy (91%), anxious (4%), confused (3%)"
running,0.1,"trusting (22%), anxious (20%), greedy (18%)"
thanks,0.1,"greedy (41%), trusting (28%), distracted (24%)"
goes,0.1,"anxious (29%), confused (24%), distracted (14%)"
person,0.1,"confused (23%), anxious (18%), greedy (15%)"
processed,0.1,"greedy (43%), trusting (21%), confused (14%)"
willing,0.1,"greedy (49%), aggressive (14%), polite (13%)"
quickly,0.1,"greedy (33%), anxious (16%), confused (15%)"
essence,0.1,"anxious (23%), confused (23%), greedy (13%)"
try,0.1,"confused (43%), anxious (31%), greedy (9%)"
administrative,0.1,"greedy (33%), confused (23%), distracted (17%)"
claim,0.1,"confused (23%), greedy (16%), skeptical (14%)"
wilson,0.1,"confused (23%), trusting (19%), skeptical (14%)"
talk,0.1,"anxious (30%), confused (28%), trusting (16%)"
definitely,0.1,"greedy (68%), anxious (7%), skeptical (7%)"
street,0.1,"trusting (50%), distracted (19%), confused (12%)"
dear,0.1,"confused (69%), anxious (24%), trusting (6%)"
problem,0.1,"confused (31%), anxious (20%), distracted (15%)"
issues,0.1,"greedy (36%), trusting (16%), anxious (11%)"
price,0.1,"greedy (38%), confused (34%), anxious (16%)"
suspicious,0.1,"polite (16%), anxious (15%), aggressive (14%)"
their,0.1,"skeptical (24%), polite (21%), aggressive (18%)"
providing,0.1,"polite (40%), greedy (14%), confused (12%)"
theft,0.1,"greedy (33%), confused (17%), aggressive (11%)"
where,0.1,"confused (21%), polite (21%), greedy (20%)"
additional,0.1,"greedy (77%), trusting (11%), anxious (5%)"
work,0.1,"greedy (39%), anxious (19%), confused (14%)"
lot,0.1,"anxious (31%), confused (29%), distracted (20%)"
happen,0.1,"anxious (36%), confused (33%), greedy (16%)"
free,0.1,"greedy (71%), confused (9%), anxious (8%)"
remotely,0.1,"anxious (21%), trusting (21%), confused (19%)"
years,0.1,"confused (29%), anxious (26%), skeptical (15%)"
protect,0.1,"anxious (22%), confused (18%), aggressive (14%)"
trick,0.1,"anxious (55%), confused (37%), aggressive (5%)"
say,0.1,"greedy (60%), confused (16%), anxious (13%)"
event,0.1,"confused (32%), distracted (18%), trusting (17%)"
link,0.1,"greedy (42%), polite (14%), trusting (14%)"
clear,0.1,"greedy (30%), confused (23%), distracted (13%)"
priority,0.1,"greedy (53%), polite (11%), distracted (11%)"
support,0.1,"greedy (36%), polite (13%), anxious (11%)"
run,0.1,"trusting (29%), confused (26%), anxious (19%)"
protection,0.1,"greedy (75%), confused (9%), anxious (8%)"
day,0.1,"trusting (50%), greedy (32%), distracted (5%)"
cash,0.1,"greedy (44%), confused (11%), trusting (10%)"
act,0.1,"greedy (38%), confused (16%), anxious (15%)"
national,0.1,"aggressive (20%), confused (18%), skeptical (15%)"
apologize,0.1,"polite (23%), aggressive (19%), confused (18%)"
mistake,0.1,"anxious (39%), confused (23%), polite (13%)"
thing,0.1,"greedy (31%), confused (27%), anxious (21%)"
report,0.1,"anxious (23%), polite (23%), skeptical (16%)"
few,0.1,"confused (21%), trusting (18%), distracted (16%)"
promise,0.1,"confused (52%), anxious (38%), distracted (4%)"
fine,0.1,"distracted (42%), anxious (26%), greedy (10%)"
glad,0.1,"greedy (51%), trusting (24%), confused (9%)"
much,0.1,"trusting (31%), greedy (22%), confused (21%)"
soon,0.1,"trusting (43%), greedy (27%), anxious (15%)"
expedite,0.1,"greedy (42%), confused (14%), trusting (12%)"
directly,0.1,"polite (30%), greedy (19%), skeptical (14%)"
special,0.1,"greedy (59%), anxious (15%), confused (13%)"
guarantee,0.1,"greedy (50%), anxious (29%), confused (12%)"
risk,0.1,"anxious (26%), polite (17%), skeptical (16%)"
complete,0.1,"trusting (31%), greedy (25%), confused (13%)"
waiting,0.1,"trusting (39%), confused (25%), anxious (22%)"
when,0.1,"confused (22%), anxious (19%), greedy (15%)"
ready,0.1,"greedy (60%), confused (12%), trusting (12%)"
should,0.1,"anxious (29%), confused (27%), trusting (26%)"
anyone,0.1,"anxious (22%), skeptical (21%), trusting (18%)"
which,0.1,"greedy (47%), confused (15%), anxious (12%)"
cooperate,0.1,"greedy (34%), aggressive (19%), polite (12%)"
courtesy,0.1,"greedy (41%), anxious (15%), polite (15%)"
also,0.1,"greedy (56%), anxious (12%), confused (9%)"
selected,0.1,"polite (18%), aggressive (15%), confused (15%)"
open,0.1,"confused (23%), greedy (16%), anxious (16%)"
winners,0.1,"greedy (25%), confused (22%), anxious (14%)"
congratulations,0.1,"trusting (25%), greedy (18%), confused (12%)"
repair,0.1,"trusting (37%), anxious (25%), distracted (14%)"
alex,0.1,"greedy (45%), polite (17%), trusting (13%)"
may,0.1,"polite (21%), anxious (20%), greedy (13%)"
check,0.1,"anxious (21%), confused (17%), greedy (16%)"
extra,0.1,"greedy (86%), confused (5%), trusting (4%)"
com,0.1,"confused (21%), greedy (17%), trusting (16%)"
someone,0.1,"anxious (36%), skeptical (18%), confused (18%)"
fraud,0.1,"greedy (27%), anxious (17%), confused (15%)"
david,0.1,"greedy (35%), aggressive (16%), confused (13%)"
them,0.1,"confused (19%), polite (18%), skeptical (18%)"
procedure,0.1,"confused (38%), distracted (19%), anxious (18%)"
prevent,0.1,"confused (21%), greedy (16%), trusting (15%)"
away,0.1,"greedy (24%), confused (20%), anxious (19%)"
reputable,0.1,"confused (26%), anxious (24%), greedy (15%)"
department,0.1,"polite (23%), greedy (21%), skeptical (18%)"
due,0.1,"confused (17%), skeptical (15%), greedy (15%)"
being,0.1,"greedy (19%), aggressive (17%), skeptical (16%)"
badge,0.1,"confused (29%), anxious (23%), aggressive (18%)"
winner,0.1,"greedy (19%), anxious (14%), confused (14%)"
sweepstakes,0.1,"skeptical (20%), polite (18%), aggressive (17%)"
compromised,0.1,"anxious (18%), confused (18%), aggressive (14%)"
speak,0.1,"anxious (23%), skeptical (15%), aggressive (14%)"
well,0.1,"greedy (44%), polite (16%), aggressive (10%)"
standard,0.1,"confused (38%), anxious (16%), distracted (13%)"
cover,0.1,"trusting (25%), greedy (23%), distracted (18%)"
costs,0.1,"greedy (25%), confused (24%), trusting (18%)"
direct,0.1,"greedy (53%), polite (14%), anxious (11%)"
welcome,0.1,"trusting (69%), greedy (13%), confused (9%)"
interested,0.1,"greedy (48%), polite (19%), aggressive (11%)"
mind,0.1,"anxious (47%), greedy (16%), confused (14%)"
hours,0.1,"greedy (43%), trusting (17%), polite (10%)"
why,0.1,"skeptical (30%), aggressive (21%), confused (20%)"
put,0.1,"anxious (34%), confused (21%), aggressive (11%)"
